XI Taller Internacional Paradigmas Emancipatorios / 11th Emancipation Paradigms International Workshop / 11ª Oficina Internacional “Paradigmas Emancipatórios”   ,6-ene.,9-ene.,La Habana,CSO “Otto Parellada”       ,Cubatur,"Dr. Gilberto Valdés Gutiérrez                                          


",(537) 832 1887; 832 0301,,galfisa@ceniai.inf.cu,www.filosofia.cu
Premio Literario Casa de las Américas / Casa de las Américas Literary Award / Prêmio Literário Casa de las Américas           ,19-ene.,29-ene.,La Habana,Casa de las Américas          ,Paradiso,Dr. Roberto Fernandez Retamar,(537) 838 2706-09.,(537) 838 2703,direccioncil@casa.cult.cu,www.casadelasamericas.org
XIV Jornada Internacional de Derecho de Contratos / 14th Contracts Law International Meeting / 14ª Jornada de Direito de Contratos         ,25-ene.,27-ene.,La Habana,Hotel Nacional de Cuba                   ,Cubatur,Migdalia Velázquez Pérez,(537) 832 9680 ,(537) 833 3382,migdalia@unjc.co.cu,www.unjc.co.cu
XIV Simposio Internacional de Comunicación Social / 14th Social Communication International Symposium / 14º Simpósio Internacional de Comunicação Social   ,25-ene.,29-ene.,Santiago de Cuba,Centro de Convenciones Heredia     ,Havanatur,"Dra. Eloína Miyares Bermúdez     Dr. Leonel Ruiz Miyares



",(53 22) 646390; 656141,,leonel@lingapli.ciges.inf.cu,www.santiago.cu/hosting/linguistica
Congreso Internacional Pedagogía 2015 / Pedagogy 2015 International Congress / Congresso Internacional Pedagogia 2015 ,26-ene.,30-ene.,La Habana,Palacio de Convenciones,Cubatur,Margarita Quintero López                                 ,(537) 838 3413; 838 1326,,pedagogia@mined.rimed.cu,www.rimed.cu
XV Taller de Física Nuclear y IX Simposio de Técnicas Nucleares y Conexas 2015 / 15th Nuclear Physics Workshop and 9th Nuclear and Related Techniques Symposium / 15º Workshop de Física Nuclear e 9º Simpósio de Técnicas Nucleares e Conexas 2015,2-feb.,6-feb.,La Habana,Museo Nacional de Bellas Artes,Cubatur,"Dra. Ana Ester Cabal Rodríguez            Dr. Cesar García Trápaga 
                                
 
",(537) 206 6109; 878 9860,(53-7) 878-9871 (InSTEC) ,wonp-nurt@ceaden.edu.cu,www.wonp-nurt.cu
"XVI Taller de Ingeniería de Montaña “Jorge Serrano In Memoriam"" / 16th “Jorge Serrano In Memoriam"" Mountain Engineering Workshop / 16º Workshop de Engenharia de Montanha “Jorge Serrano In Memoriam”",6-feb.,8-feb.,Guantánamo ,Baracoa      ,Cubatur,"MsC. Arq.Max Roberto Singh Castillo                                     
", (53 21) 324306; 355204; 355507,,"maxsingh@gtmo.copextel.com.cu, presidencia@gtm.unaicc.cu",www.unaicc.cu
Feria Internacional del Libro / International Book Fair. / Feira Internacional do Livro,12-Feb,22-2,La Habana,Complejo Morro- Cabaña (La Habana) y provincias. ,Paradiso,"Zuleica Romay Guerra

      


",(537) 832 9559; 832 8829,(537) 866 8446; 833 3441,"presidencia@icl.cult.cu, feria@ccl.cult.cu, direccion@ccl.cult.cu ",www.camaradelibro.cult.cu 
Búsquedas Investigativas: Intercambio científico entre profesionales cubanos y norteamericanos / Research Explorations: Cuban and North American professionals’ scientific exchange / Buscas  investigativas: troca de experiências entre profissionais cubanos e norte-americanos,22-feb.,28-feb.,Habana y Stgo de Cuba,APC en Habana Univ. Ciencias Pedagógicas Frank País en Stgo. Cuba,Havanatur,Dr.C. Gilberto García Batista                      ,(537) 202 5420; 202 5478,,"eventos@apc.rimed.cu, presidente@apc.rimed.cu", www.apc.rimed.cu
Seminario Científico Estudiantil.  XXIII Encuentro Interfacultades BUAP- UC de Arquitectura y Urbanismo / Student Scientific Seminar.  23rd BUAP- UC Architecture and Urban Planning Interfaculty Meeting / Seminário Científico Estudantil. 23º Encontro Interfaculdade BUAP – UC de Arquitetura e Urbanismo,22-feb.,28-feb.,Camagüey,Universidad de Camagüey,Cubatur,"Dr. Arq. Elio Pérez Ramírez.                Arq.Cristina Balbis Iraola
 
",,,"elio.perez@reduc.edu.cu, cristina.balbis@reduc.edu.cu",
